Iterations,Time,Block_size,Threads,Eps,Grid_size,f,g
209,0.016734,32,1,0.100000,100,default,default
209,0.016079,64,1,0.100000,100,default,default
208,0.011854,32,2,0.100000,100,default,default
205,0.012803,64,2,0.100000,100,default,default
147,0.008049,32,4,0.100000,100,default,default
207,0.013298,64,4,0.100000,100,default,default
141,0.008835,32,8,0.100000,100,default,default
204,0.017174,64,8,0.100000,100,default,default
722,0.055257,32,1,0.010000,100,default,default
722,0.054775,64,1,0.010000,100,default,default
717,0.040079,32,2,0.010000,100,default,default
721,0.044144,64,2,0.010000,100,default,default
699,0.035589,32,4,0.010000,100,default,default
721,0.045737,64,4,0.010000,100,default,default
700,0.041877,32,8,0.010000,100,default,default
721,0.057487,64,8,0.010000,100,default,default
291,0.089728,32,1,0.100000,200,default,default
291,0.088537,64,1,0.100000,200,default,default
280,0.055010,32,2,0.100000,200,default,default
264,0.057062,64,2,0.100000,200,default,default
252,0.037738,32,4,0.100000,200,default,default
235,0.042488,64,4,0.100000,200,default,default
223,0.030598,32,8,0.100000,200,default,default
240,0.051914,64,8,0.100000,200,default,default
1500,0.461990,32,1,0.010000,200,default,default
1500,0.459587,64,1,0.010000,200,default,default
1499,0.293901,32,2,0.010000,200,default,default
1473,0.316074,64,2,0.010000,200,default,default
1467,0.222416,32,4,0.010000,200,default,default
1188,0.216304,64,4,0.010000,200,default,default
1483,0.208929,32,8,0.010000,200,default,default
1215,0.260796,64,8,0.010000,200,default,default
316,0.617863,32,1,0.100000,500,default,default
316,0.604485,64,1,0.100000,500,default,default
202,0.237661,32,2,0.100000,500,default,default
211,0.238565,64,2,0.100000,500,default,default
165,0.114920,32,4,0.100000,500,default,default
150,0.115049,64,4,0.100000,500,default,default
174,0.097090,32,8,0.100000,500,default,default
173,0.115174,64,8,0.100000,500,default,default
2484,4.792379,32,1,0.010000,500,default,default
2484,4.794724,64,1,0.010000,500,default,default
1556,1.696314,32,2,0.010000,500,default,default
1570,1.836480,64,2,0.010000,500,default,default
1367,1.006111,32,4,0.010000,500,default,default
1400,1.193657,64,4,0.010000,500,default,default
1398,0.932344,32,8,0.010000,500,default,default
1262,1.024529,64,8,0.010000,500,default,default
352,2.790209,32,1,0.100000,1000,default,default
352,2.708789,64,1,0.100000,1000,default,default
299,1.295482,32,2,0.100000,1000,default,default
332,1.476216,64,2,0.100000,1000,default,default
168,0.433755,32,4,0.100000,1000,default,default
187,0.516343,64,4,0.100000,1000,default,default
217,0.457967,32,8,0.100000,1000,default,default
195,0.446243,64,8,0.100000,1000,default,default
3001,23.121796,32,1,0.010000,1000,default,default
3001,22.872311,64,1,0.010000,1000,default,default
2087,9.112440,32,2,0.010000,1000,default,default
2265,9.872118,64,2,0.010000,1000,default,default
1471,4.114465,32,4,0.010000,1000,default,default
1455,4.181222,64,4,0.010000,1000,default,default
1523,3.862904,32,8,0.010000,1000,default,default
1408,3.829391,64,8,0.010000,1000,default,default
