Iterations,Time,Threads,Eps,Grid_size,f,g
209,0.016360,1,0.100000,100,default,default
208,0.008417,2,0.100000,100,default,default
208,0.004670,4,0.100000,100,default,default
208,0.004323,8,0.100000,100,default,default
722,0.058418,1,0.010000,100,default,default
721,0.029540,2,0.010000,100,default,default
721,0.015972,4,0.010000,100,default,default
720,0.014718,8,0.010000,100,default,default
291,0.091663,1,0.100000,200,default,default
291,0.046714,2,0.100000,200,default,default
291,0.024797,4,0.100000,200,default,default
293,0.021714,8,0.100000,200,default,default
1500,0.479792,1,0.010000,200,default,default
1500,0.246665,2,0.010000,200,default,default
1501,0.137494,4,0.010000,200,default,default
1498,0.111469,8,0.010000,200,default,default
316,0.607731,1,0.100000,500,default,default
316,0.311649,2,0.100000,500,default,default
316,0.172201,4,0.100000,500,default,default
316,0.142244,8,0.100000,500,default,default
2484,4.720182,1,0.010000,500,default,default
2484,2.428101,2,0.010000,500,default,default
2484,1.388244,4,0.010000,500,default,default
2483,1.263129,8,0.010000,500,default,default
352,2.701185,1,0.100000,1000,default,default
352,1.361518,2,0.100000,1000,default,default
352,0.779570,4,0.100000,1000,default,default
352,0.677434,8,0.100000,1000,default,default
3001,22.627850,1,0.010000,1000,default,default
3001,11.763043,2,0.010000,1000,default,default
3001,7.396749,4,0.010000,1000,default,default
3002,6.382667,8,0.010000,1000,default,default
